NodeIndex,PredictedRiskScore
2221,1.827743
2222,1.8193197
2223,1.811677
2224,1.8051381
2225,1.8007019
2226,1.798449
2227,1.798701
2228,1.8006682
2229,1.8043234
2230,1.8100275
2231,1.8190243
2232,1.8314973
2233,1.8466153
2234,1.8632141
2235,1.881
2236,1.9001806
2237,1.9206448
2238,1.9418409
2239,1.9632256
2240,1.9845824
2241,2.005919
2242,2.0272422
2243,2.0486157
2244,2.0701947
2245,2.0921319
2246,2.114463
2247,2.1370373
2248,2.1597018
2249,2.182361
2250,2.20501
2251,2.2264237
2252,2.243812
2253,2.2544231
2254,2.2579486
2255,2.2580998
2256,2.2589386
2257,2.2633052
2258,2.2707
2259,2.2798123
2260,2.2893338
2261,2.2988436
2262,2.3083467
2263,2.3178492
2264,2.3271267
2265,2.3361118
2266,2.3456678
2267,2.357117
2268,2.3714669
2269,2.38786
2270,2.4052033
2271,2.4225588
2272,2.4399173
2273,2.4572697
2274,2.475087
2275,2.4938824
2276,2.5136633
2277,2.533426
2278,2.5521808
2279,2.570076
2280,2.5879781
2281,2.6066337
2282,2.6260395
2283,2.646123
2284,2.6669507
2285,2.6887627
2286,2.7114456
2287,2.7349339
2288,2.7592654
2289,2.7847507
2290,2.81051
2291,2.8347409
2292,2.8559568
2293,2.874627
2294,2.8923526
2295,2.9074006
2296,2.9157648
2297,2.9133067
2298,2.9016619
2299,2.8849535
2300,2.8658695
2301,2.8437126
2302,2.8169317
2303,2.7862635
2304,2.7533343
2305,2.7193043
2306,2.6842856
2307,2.6483164
2308,2.6121054
2309,2.57649
2310,2.5422332
2311,2.5093744
2312,2.4777524
2313,2.4469228
2314,2.4167216
2315,2.3870952
2316,2.3586335
2317,2.3319328
2318,2.3075154
2319,2.284926
2320,2.263676
2321,2.2435267
2322,2.2247264
2323,2.207725
2324,2.1922607
2325,2.1783924
2326,2.1658058
2327,2.153624
2328,2.1396325
2329,2.1218076
2330,2.1001232
2331,2.076095
2332,2.0514433
2333,2.027063
2334,2.0032809
2335,1.9800417
2336,1.9575127
2337,1.9361622
2338,1.9165993
2339,1.8999445
2340,1.8869772
2341,1.8785124
2342,1.87321
2343,1.8696885
2344,1.8671894
2345,1.8663051
2346,1.8676416
2347,1.8707175
2348,1.875077
2349,1.8806039
2350,1.8877333
2351,1.8966179
2352,1.9066303
2353,1.9167376
2354,1.9257414
2355,1.9325933
2356,1.9366326
2357,1.9378924
2358,1.9375396
2359,1.9367892
2360,1.9355496
2361,1.9325302
2362,1.9266388
2363,1.9189394
2364,1.9106041
2365,1.9020699
2366,1.8926268
2367,1.8813217
2368,1.8672857
2369,1.8497136
2370,1.8298898
2371,1.8100383
2372,1.7920687
2373,1.7765927
2374,1.7632773
2375,1.7519362
2376,1.742137
2377,1.734125
2378,1.728169
2379,1.7243896
2380,1.7223501
2381,1.7215638
2382,1.7208428
2383,1.7185795
2384,1.7126184
2385,1.7024518
2386,1.6888856
2387,1.6739372
2388,1.6579478
2389,1.6405959
2390,1.6210698
2391,1.6007049
2392,1.5809081
2393,1.5631928
2394,1.5469322
2395,1.5311307
2396,1.5143434
2397,1.4966428
2398,1.4784418
2399,1.4602765
2400,1.4419159
2401,1.4230585
2402,1.4038874
2403,1.3849499
2404,1.367145
2405,1.350799
2406,1.3360796
2407,1.3227056
2408,1.3106995
